model,random_state,accuracy,recall,precision,f1_score
knn,42,0.5684210526315789,0.45,0.4864864864864865,0.4675324675324675
svm,42,0.6421052631578947,0.4,0.6153846153846154,0.48484848484848486
nb,42,0.5368421052631579,0.225,0.4090909090909091,0.2903225806451613
lr,42,0.6526315789473685,0.35,0.6666666666666666,0.45901639344262296
rf,42,0.6421052631578947,0.325,0.65,0.43333333333333335
knn,43,0.5284552845528455,0.2978723404255319,0.358974358974359,0.32558139534883723
svm,43,0.5365853658536586,0.8936170212765957,0.44680851063829785,0.5957446808510638
nb,43,0.6260162601626016,0.7446808510638298,0.5072463768115942,0.603448275862069
lr,43,0.6991869918699187,0.7659574468085106,0.5806451612903226,0.6605504587155964
rf,43,0.6991869918699187,0.6170212765957447,0.6041666666666666,0.6105263157894737
knn,44,0.6363636363636364,0.40425531914893614,0.5428571428571428,0.4634146341463415
svm,44,0.6942148760330579,0.3829787234042553,0.6923076923076923,0.4931506849315068
nb,44,0.6363636363636364,0.0851063829787234,0.8,0.15384615384615385
lr,44,0.6776859504132231,0.2978723404255319,0.7,0.417910447761194
rf,44,0.7933884297520661,0.6382978723404256,0.7894736842105263,0.7058823529411765
knn,45,0.49572649572649574,0.2826086956521739,0.3333333333333333,0.3058823529411765
svm,45,0.5470085470085471,0.43478260869565216,0.425531914893617,0.43010752688172044
nb,45,0.6581196581196581,0.2826086956521739,0.65,0.3939393939393939
lr,45,0.6837606837606838,0.391304347826087,0.6666666666666666,0.4931506849315068
rf,45,0.6410256410256411,0.3695652173913043,0.5666666666666667,0.4473684210526316
knn,46,0.696,0.48936170212765956,0.6216216216216216,0.5476190476190477
svm,46,0.704,0.2765957446808511,0.8125,0.4126984126984127
nb,46,0.648,0.10638297872340426,0.7142857142857143,0.18518518518518517
lr,46,0.616,0.3191489361702128,0.4838709677419355,0.38461538461538464
rf,46,0.76,0.6382978723404256,0.6976744186046512,0.6666666666666666
knn,47,0.5454545454545454,0.24561403508771928,0.45161290322580644,0.3181818181818182
svm,47,0.6212121212121212,0.17543859649122806,0.7692307692307693,0.2857142857142857
nb,47,0.5757575757575758,0.03508771929824561,0.6666666666666666,0.06666666666666667
lr,47,0.5984848484848485,0.10526315789473684,0.75,0.18461538461538463
rf,47,0.6439393939393939,0.2807017543859649,0.7272727272727273,0.4050632911392405
knn,48,0.5813953488372093,0.3469387755102041,0.4358974358974359,0.38636363636363635
svm,48,0.5813953488372093,0.6326530612244898,0.4626865671641791,0.5344827586206896
nb,48,0.5736434108527132,0.5102040816326531,0.44642857142857145,0.47619047619047616
lr,48,0.6821705426356589,0.3877551020408163,0.6333333333333333,0.4810126582278481
rf,48,0.7441860465116279,0.6938775510204082,0.6538461538461539,0.6732673267326733
knn,49,0.5916666666666667,0.3148148148148148,0.5862068965517241,0.40963855421686746
svm,49,0.6,0.12962962962962962,0.875,0.22580645161290322
nb,49,0.5666666666666667,0.07407407407407407,0.6666666666666666,0.13333333333333333
lr,49,0.6166666666666667,0.2037037037037037,0.7857142857142857,0.3235294117647059
rf,49,0.6833333333333333,0.42592592592592593,0.7666666666666667,0.5476190476190477
knn,50,0.6341463414634146,0.4782608695652174,0.5116279069767442,0.4943820224719101
svm,50,0.6585365853658537,0.2826086956521739,0.5909090909090909,0.38235294117647056
nb,50,0.6504065040650406,0.06521739130434782,1.0,0.12244897959183673
lr,50,0.6260162601626016,0.17391304347826086,0.5,0.25806451612903225
rf,50,0.6910569105691057,0.5217391304347826,0.6,0.5581395348837209
knn,51,0.5619834710743802,0.2916666666666667,0.42424242424242425,0.345679012345679
svm,51,0.628099173553719,0.14583333333333334,0.6363636363636364,0.23728813559322035
nb,51,0.6198347107438017,0.08333333333333333,0.6666666666666666,0.14814814814814814
lr,51,0.6776859504132231,0.22916666666666666,0.8461538461538461,0.36065573770491804
rf,51,0.7272727272727273,0.5208333333333334,0.7142857142857143,0.6024096385542169
